b'RT @SpirosMargaris: #Bitcoin #Futures: Make Way for a New Kind of Whale  #fintech #blockchain @coindesk https://',
b'Detroit Bitcoin Trader Gets Jail Time for Unlicensed Money Business  ',
b'$240: Monero Prices Hit Record High and Could Climb Further  ',
"b""Bloomberg Bitcoin's Diverse Futures  by @davidfickling""",
"b""R3's Corda Platform Launches on Amazon Web Services  """,
b'AFR Bitcoin Is the Hottest of Commodities Until You Actually Try to Spend It  by @stephengandel',
"b'Adrenaline Rush Over? Bitcoin Eyes $12,000, But Correction Possible  '",
b'Now You Can Buy Mariah Carey and G-Eazy Albums With Monero  ',
b'PetroBLOQ Becomes Latest Member of Enterprise Ethereum Alliance  ',
"b""PayPal's Max Levchin: Blockchain Is 'Brilliant' But I'm Undecided on Bitcoin  """,
b'Bitcoin Futures: Make Way for a New Kind of Whale  ',
b'Financial Times Bitcoin: An Investment Mania for Fake News Era ',
b'South China Morning Post Why Bitcoin Fever Is a Bubble Waiting to Burst ',
b'RT @NeerajKA: | | | WILL | | MATE FOR | | $ETH | | __| || ( )||',
b'UBS Seeks IP Protection for Smart Contract Blockchain Validation  ',
"b'RT @pete_rizzo_: ""Humor is how we learn, it\'s how we make sense, it\'s how we understand."" Or the post in which 3 years ago I ask for crypto'",
b'TechCrunch Bitcoin Bubble Burst Will Warn You If the Bitcoin Dream is About to Crash ',
"b'One Marshmallow Now, or Two Bitcoins in 15 Minutes?  '",
b'Bloomberg Hedge Funds Prepare to Trade Against Bitcoin  by @sonalibasak and @roburban',
b'RT @thatsabit_rich: The Father of the ICO Is All About #Identity Now  via @CoinDesk #personaldata #datarights #block',
"b""RT @AriDavidPaul: Only in cryptocurrency: I've been debating with fellow fund managers if cryptokitties is bullish or bearish for the pric""",
b'RT @JuanLlanos: Always nice to catch an artist at work @helloluis #Bitcoin #blockchain @laBITconf ',
b'RT @BryceWeiner: Get. Your. Popcorn. Ready. ',
b'RT @Cryptomik3: The plot thickens #bitcoin #Bitfinex #exchange ',
"b""Bitfinex vs. Bitfinex'ed? Exchange Hires Law Firm to Challenge Critics  """,
b'RT @drwasho: 2016: Ethereum can provide sophisticated financial services to the unbanked. 2017: Someone breed with my kitten on the blockc',
b'Alleged ICO Fraudster Pleads Not Guilty in New York Court  ',
b'RT @BradyDale: SEC Files Fraud Charges Against ICO Organizer  via @CoinDesk',
"b""RT @arrington: USV, Winklevoss Bros (and Arrington) Invest in Blockstack's $50 Million ICO  via @CoinDesk""",
b'RT @IdeaGov: SEC Files Fraud Charges Against ICO Organizer  via @CoinDesk',
"b'RT @SatoshiLite: I think things like cryptokitties, rare pepes, and spells of genesis cards are really cool use case of the blockchain. B/c'",
b'Moscow Government Open-Sources Blockchain Voting Tool  ',
"b""Loveable Digital Kittens Are Clogging Ethereum's Blockchain  """,
"b""RT @DelRayMan: A crypto-national currency? Ukraine's central bank is expanding its blockchain team:  via @coindesk h""",
"b""RT @MarcHochstein: Those darn  Loveable Digital Kittens Are Clogging Ethereum's Blockchain  via @CoinDesk""",
b'Blockchains Are Forever? Diamond Giant De Beers Unveils DLT Strategy  ',
b'CBOE to Begin Bitcoin Futures Trading on December 10  ',
b'Bitcoin Spin-Offs Caught in a Bull-Bear Tug Of War  ',
b'SEC Files Fraud Charges Against Canadian ICO Organizer  ',
"b""BREAKING: USV, Winklevoss Bros Invest in Blockstack's $50 Million ICO  """,
"b""Closing China's Bitcoin Exchanges Was the Right Move, Says PBoC Official  """,
b'Looking Heavy: Bitcoin Price Eyes Correction After New Record High  ',
"b""Polychain Capital CEO: Bitcoin Is a 'Breakthrough Technology'  """,
b'The Ukrainian Central Bank Is Expanding Its Blockchain Team  ',
b'Forget Token Sales? The Father of the ICO Is All About Identity Now  ',
b'Sony Patent Filing Details Blockchain Use for Managing Education Data  ',
b'4 Blockchain Bills Introduced in New York Legislature  ',
"b""Venezuelan President Announces 'Petro' Oil-Backed Cryptocurrency  """,
"b""Barron's Bitcoin Storms Wall Street  by @avibarrons""",
b'Blockchain Beach? Aruba Looks to Ethereum to Sustain Tourism  ',
b'How Governments Are Reacting to ICOs  ',
b'Bitcoin Breakout: Price Spikes $500 in One Hour to Top $  ',
"b'ICYMI, @robmay of @tallainc says white papers are ""mostly irrelevant"" when sizing up token offerings in this op-ed '",
"b""Barron's The Bitcoin Consensus : Yes It s a Bubble, Buy It Anyway  by @crystalkimmm""",
b'7 Tokens Investors Are Talking About  ',
b'Scrap the White Paper: How to Evaluate Tokens and Blockchains  ',
"b""Forbes Blockchain Conference: Bitcoin's At $10,000? Crypto Is Just Getting Started  by @laurashin""",
"b'Financial Planning Bitcoin Mania Sweeps Crypto Event as Price Nears $11,000 '",
b'Bloomberg Bitcoin Job Postings Are Surging on LinkedIn  by @julieverhage',
b'Sidechains Project Pushes Ahead with Bitcoin BIP Submission  ',
b'Report: Tezos Founders Ask Foundation to Help Pay Legal Bills in ICO Suits  ',
"b'RT @hudsonjameson: My cat, Phillip J. Fry, made it on the cover of @coindesk. '",
"b""'Microraiden' Payment Channels Go Live on Ethereum Network  """,
b'Medium The Three Economic Eras of Bitcoin  by @rusty_twit',
b'Coinbase Taps Former TD Ameritrade Exec for COO Role  ',
"b""There's More Than One Way to Be Bitcoin Rich  """,
"b'Paying Rent With Crypto? App for Tenants Adds BTC, LTC, ETH  '",
"b""Invest in Bitcoin 'At Your Own Risk,' Warns French Central Bank  """,
"b'Bitcoin Pushes Above $10,500 on  Futures Approval  '",
b'@CFTC 4/ Full story w/ our most recent CME interview below CME to Begin Trading Bitcoin Futures December 18 ',
b'CME to Begin Trading Bitcoin Futures December 18  ',
"b'@CFTC 3/ CME: bitcoin futures will be subject to risk management including initial margin of 35%, intraday price limits, and credit controls'",
b'2/ CME CEO Terry Duffy says launch will follow completion of approval process with @CFTC',
b'BREAKING: CME says start date for bitcoin futures to be December 18 ',
"b'Bitcoin Not Legal Tender in India, Finance Minister Says  '",
"b'RT @kristofferjust: People are just crazy, to think that a random celeb is great for promoting very technical and complex applications. Hop'",
b'Bitcoin Claws Back to $10k: Can Bulls Turn the Tide?  ',
"b'Bitcoin Too Volatile for Goldman Sachs, Says CEO  '",
"b""Bitcoin 'Seems Like a Bubble', Says Billionaire Investor Carl Icahn  """,
"b""World Computer? New Protocol Could Supercharge Ethereum's Blockchain  """,
"b'White House Team Is Monitoring Cryptocurrencies, Says Press Secretary  '",
b'Bank of Canada Paper Weighs Central Bank-Issued Cryptocurrency  ',
"b'RT @theonevortex: Bitfinex officially responds to Tether allegations. ""A full audit will be released as soon as possible"" '",
"b'Bitfinex and Tether Break Silence, Go on Media Offensive  '",
b'RT @MoneyMagicks: Reeks of FUD. But interesting read. Newbies will either adapt or flee the space. We were all newbies at one point. And we',
b'The Atlantic Bitcoin Is a Delusion That Could Conquer the World  by @DKThomp',
"b""RT @kristofferjon: Just 400%? Willy Woo's Math for Insane Crypto Returns  via @CoinDesk""",
b'Opinion: Bitcoin Is an Emerging Systemic Risk  ',
b'RT @jimmysong: #cryptobucketlist 1. Buy a house with a faraday cage in it 2. Tour the world in an autonomous car bought with BTC 3. Speak',
b'@NeerajKA You re hired!',
b'FT There Are Many Reasons to Be Cautious About Bitcoin  by @JeanTirole',
b'ICE Agent: Cryptocurrencies Increasingly Used in Money Laundering   mixing services (at e ',
"b'Almost Half of ICO Funding Goes to Europe, Report Finds '",
b'SF Fed President: No Plans to Put USD on a Blockchain  -- but expect more conversations abou ',
"b"" Won't Accept Cryptocurrency for Tax Bills, Minister Says  also, regs are coming for c """,
"b""ECB's Yves Mersch: Banks Need Faster Payments to Counter Bitcoin  """,
"b'Coinbase Ordered to Hand IRS Data on Over 14,000 Users  '",
"b'Down, Not Out? Dash Price Likely to Defend $600  '",
"b""PwC's Hong Kong Office Accepts Bitcoin Payment  """,
"b'Questions of Regulation, Taxation Loom Over Crypto Investors  '",
b'Topped Out? Bitcoin Flirts with Short-Term Bearish Reversal  ',
b'How Blockstack Counterattacked a Phishing Attempt on Its ICO  ',
"b'Investors Taking a Risk Buying Bitcoin, Says ECB Vice President  '",
"b""More Devs, More Destruction: Inside Zcash's Second Crypto Ceremony  """,
"b""Just 400%? Willy Woo's Magic Math for Insane Crypto Returns  @woonomic """,
b'RT @GeminiDotCom: Monitoring: We are implementing a mitigation fix due to an enormous influx of web traffic. We are testing and will http',
b'RT @dinisguarda: CoinDesk Releases Q3 #Bitcoin and #Blockchain Industry Report  via @CoinDesk',
"b'RT @MariaTerekhova2: If the price of Bitcoin was a rollercoaster, everyone on it would have catastrophic whiplash: '",
b'Crypto Corrupts the Youth? South Korea Prime Minister Says So  ',
b'ICO Pros Call for Self-Regulation Citing SEC Risk  ',
"b'Bitcoin Price Falls $1,000 in Minutes to Erase 24-Hour Gains  '",
"b""Bitcoin 'Ought to Be Outlawed,' Economist Joseph Stiglitz Says """,
b'ThreeBitPoet* ',
b'EXCLUSIVE: Tokenized Fund-of-Funds to Raise $100 Million Via ICO  ',
"b""@katyperry Congrats on speaking to Mr. Buffet. As the leading crypto news site, we'd love to hear about your inte """,
b'CNBC Banks Need Bitcoin More Than Bitcoin Needs Banks: William Mougayar ',
"b'RT @CharlieShrem: I want to humbly dedicate this $10,000 #Bitcoin price to one of the men who truly made it happen, @jakedienelt. He was on'",
b'RT @katyperry: nbd asking Warren Buffet his thoughts on cryptocurrency @ Berkshire Hathaway ',
b'China State TV: OTC Bitcoin Platforms May Violate Regulation  ',
b'Getting Started? Ether Sets New High Above $500  ',
b'Wallet Demo Showcases Lightning-Like Network for Ethereum  ',
"b'Bitcoin Cash Plans to Increase Its Block Size, Again  '",
"b'Bloomberg What Bitcoin Watchers Are Saying After the Surge Past $10,000 '",
"b'Overstretched? Bitcoin Price on Shaky Ground After 1,000% Gains  '",
b'Russian Central Bank Issues New Warning Against Cryptocurrencies  ',
b'New Zealand Watchdog Warns Investors Over Marketplace ICO  ',
b'A New Blockchain ETF Is Up for SEC Approval  ',
"b""ICO Mania Has Calmed Down a Bit And That's Not So Bad  """,
b'Medium Blockchain Governance: Programming Our Future  by @FEhrsam',
"b""90% of Crypto Mobile Apps 'In Trouble,' Security Report Claims  """,
b'For Better or Worse? Leverage Trading Is Coming to Bitcoin ',
b'WSJ Bitcoin s Trading Star Is Chicago High-Speed Firm That Nods to the Grateful Dead  by @aosipovich',
"b""It's Official: Bitcoin's Price Makes History Passing $10,000  """,
b'RT @ericturnr: Great piece by @mikejcasey but I always have a hard time with the tulip charts because no one discloses spot vs. option stri',
"b'Final word: ""This thing refuses to die."" #ConsensusInvest2017 '",
b'The last panel of #ConsensusInvest2017 is underway. Catch our live stream here:  ',
b'Live from #ConsensusInvest2017 with @SkyCorridors ',
b'Breaking out the most successful ICOs to date #ConsensusInvest2017 ',
b'Live from #ConsensusInvest2017 with @jimmysong ',
"b""Tetras Capital's @alexsunnarborg on valuations for stores of value &amp; currencies #ConsensusInvest """,
"b""Tetras Capital's @alexsunnarborg breaks down how to research ICO opportunities #ConsensusInvest """,
b'Live from #ConsensusInvest2017 with @TuurDemeesterzx ',
"b'Cryptocurrency is set for a ""mass market moment"" according to @TuurDemeester #ConsensusInvest '",
b'Up next: analyst @TuurDemeester takes the stage at #ConsensusInvest ',
b'Live from #ConsensusInvest2017 with @CremeDeLaCrypto ',
"b'""Bitcoin is good at being bitcoin,"" says Blockchain Capital\'s @CremeDeLaCrypto: '",
"b""Blockchain Capital's @CremeDeLaCrypto: 42% of Millennials said they were at least somewhat familiar with bitcoin in """,
"b'""20 to 30% of my net worth is now in crypto."" - Michael @Arrington, TechCrunch founder '",
"b'""I\'m just not interested in venture capital anymore,"" said TechCrunch founder Michael @Arrington on stage at '",
b'TechCrunch Founder Arrington Raising $100 Million Ripple Hedge Fund  ',
"b'TechCrunch founder Michael @Arrington announces $100m crypto fund aimed exclusively at XRP. ""If you want to invest '",
"b'Crypto ""is very volatile. Volatility does not do good things to people\'s minds."" @miguelvias, head of XRP markets, '",
"b'Bitcoin Cash Demand Shocked Us, Says Circle Trading Chief  '",
b'Live from #ConsensusInvest2017 with @tedmrogers ',
"b'Three former derivatives traders talk about the future of the crypto assets trade deal, with Sandra Ro, CME Group f '",
"b'Nasdaq executive VP and Alphapoint board advisor, Salil Donde says ""fractioning and digitizing"" assets will democra '",
"b'""There\'s a danger with custodianship that we end up with the same models in the banking industry, and that\'s a real '",
b'Live from #ConsensusInvest2017 with @SalilDonde ',
"b""Nasdaq VP Salil Donde announces he is Alphapoint's new CEO. """,
"b'AlphaPoint Unveils New Blockchain Network, CEO Hire  '",
b'Live from #ConsensusInvest2017 with @billbarhydt ',
b'RT @BradyDale: Catching the vibe at @coindesk Consensus: Invest ',
"b'BREAKING: ""The next version of Abra is going to have three wallets."" Bill Barhydt, CEO '",
b'Bitcoin Wallet App Abra Announces Ethereum Integration  ',
"b'""Bitflyer in the US is live as of today. And it\'s not just live, it\'s live in 41 states."" #ConsensusInvest '",
b'Artist @quirklar is condensing events on stage at #ConsensusInvest into easy to understand cartoons. ',
"b'What is ""crypto buy-side""? Artist @quirklar takes a stab at answering based on stage comments from #ConsensusInvest '",
b'Blockchain: Visualized. Artist @quirklar documents #ConsensusInvest ',
b'Circle to Launch Cryptocurrency Investment App in 2018  ',
b'Live from #ConsensusInvest2017 with @WhiteAdamL ',
b'Live from #ConsensusInvest2017 with @alexsunnarborg ',
"b'Grayscale\'s @Sonnenshein says the firm will launch a ""basket fund"" for five cryptocurrencies in next 90 days. '",
b'GDAX general manager says @Coinbase holds $10 billion for its customers. #ConsensusInvest ',
"b'""We\'re in this event we call the institutional trading of crypto,"" said Hu Liang, former State Street director turn '",
"b""Circle's head of trading says average transaction is approaching $1m, big tickets can be $20m, and they're growing """,
"b""Japan's BitFlyer Launches Bitcoin Exchange in US Market  """,
"b'""Due to SEC comments, everything has to be approved by internal as not a security,"" said Daniel Matuszewski, head '",
b'Live from #ConsensusInvest2017 with @AriannaSimpson ',
"b'RT @srolondon: NYC: #crypto investors gather today #consensusinvest: thank you Nolan Bauerle, Dasha Sukovatitsyn &amp; entire @coindesk team -'",
"b'Grayscale says it manages $ billion in assets across investment trusts for BTC, ETC and ZEC. #ConsensusInvest '",
b'Live from #ConsensusInvest2017 with @AriDavidPaul ',
b'Just look at that logo. So nice. #ConsensusInvest ',
"b'Downfall of crypto: ""It moves too fast for books,"" according to @patrick_oshag, speaking on stage at '",
"b'Panelists for the ""New Tools and Products"" discussion prepare to go on stage at #ConsensusInvest '",
b'Live from #ConsensusInvest2017 with @BKBrianKelly ',
b'New Alliance Sets Out to Boost Blockchain Interoperability  ',
b'XBRL Reporting Standard Co-Founder Joins Blockchain Startup  ',
"b'CoinDesk breaks from Consensus: Invest and 1,300 attendees strike out to learn more on their own. #consensusinvest '",
b'Live from #ConsensusInvest2017 with @Melt_Dem ',
b'Early Bitcoin Buyers Talk Bubbles and Origin Stories at Consensus: Invest  ',
b'Live from #ConsensusInvest2017 with @RaoulGMI ',
"b'As Bitcoin Prices Soar, Forked Rivals Face Different Paths  '",
